Wall time,Step,Value
1646389502.088571,0,3.9111640453338623
1646389508.745185,1,3.8228580951690674
1646389515.974604,2,3.750357151031494
1646389522.711612,3,3.584685802459717
1646389529.195635,4,3.231926202774048
1646389536.420408,5,2.825077533721924
1646389543.600863,6,2.508155107498169
1646389550.523406,7,2.534499406814575
1646389557.547641,8,2.1325082778930664
1646389564.157356,9,2.035308361053467
1646389570.891625,10,1.7176876068115234
1646389576.991747,11,1.9388175010681152
1646389583.336327,12,1.5280836820602417
1646389589.750753,13,1.3265408277511597
1646389596.534688,14,1.3345409631729126
1646389603.055788,15,1.1371437311172485
1646389609.215735,16,1.0535277128219604
1646389616.118225,17,1.0098706483840942
1646389622.514471,18,0.9678395390510559
1646389630.093537,19,0.8441652059555054
1646389636.489788,20,0.7792825102806091
1646389642.839467,21,0.6924591660499573
1646389649.486668,22,0.6701608896255493
1646389655.73126,23,0.6696570515632629
1646389661.977934,24,0.5103724002838135
1646389668.395726,25,0.5383133888244629
1646389674.970933,26,0.6360815763473511
1646389681.557492,27,0.44453129172325134
1646389688.005215,28,0.3909635543823242
1646389694.457499,29,0.3984842896461487
1646389700.943235,30,0.3617232143878937
1646389707.339782,31,0.3180878162384033
1646389713.968567,32,0.4020579755306244
1646389720.285814,33,0.4495318531990051
1646389726.691108,34,0.3901490569114685
1646389733.136251,35,0.4271587133407593
1646389739.726142,36,0.28634026646614075
1646389745.959219,37,0.28282633423805237
1646389752.388932,38,0.21044577658176422
1646389759.148207,39,0.13554230332374573
1646389765.633575,40,0.14040882885456085
1646389772.162356,41,0.19168581068515778
1646389778.834265,42,0.5974155068397522
1646389785.529959,43,0.21251492202281952
1646389791.959421,44,0.17220935225486755
1646389798.782205,45,0.16719681024551392
1646389805.362942,46,0.16439948976039886
1646389812.006453,47,0.07897165417671204
1646389818.579536,48,0.11175360530614853
1646389825.097982,49,0.08373977988958359
1646390128.891509,50,0.2951018810272217
1646390135.11928,51,0.1665499359369278
1646390141.67977,52,0.10532952845096588
1646390148.337355,53,0.09269740432500839
1646390154.477173,54,0.14390146732330322
1646390161.626209,55,0.1619158685207367
1646390169.372109,56,0.1647341549396515
1646390176.771477,57,0.06990844756364822
1646390183.300507,58,0.07738053798675537
1646390188.940941,59,0.05213957279920578
