Wall time,Step,Value
1647095610.082315,0,4.072843551635742
1647095621.717756,1,3.8259801864624023
1647095632.26389,2,3.52335262298584
1647095642.70634,3,3.3832037448883057
1647095653.517437,4,3.2099201679229736
1647095664.212232,5,2.9071335792541504
1647095674.889397,6,2.5982110500335693
1647095685.190951,7,2.3700218200683594
1647095695.319439,8,2.103517532348633
1647095705.150976,9,1.9005037546157837
1647095715.109406,10,1.749455451965332
1647095724.907966,11,1.4977858066558838
1647095735.737797,12,1.401172161102295
1647095745.825088,13,1.548781156539917
1647095757.498053,14,1.4937411546707153
1647095767.589891,15,1.1220391988754272
1647095777.013897,16,1.0469415187835693
1647095786.39702,17,0.9996026754379272
1647095795.886762,18,0.8288821578025818
1647095805.407354,19,0.9212060570716858
1647095815.230681,20,0.7659158706665039
1647095824.865994,21,0.6801338195800781
1647095834.739576,22,0.7482589483261108
1647095844.795329,23,0.9790592789649963
1647095854.388287,24,1.1837681531906128
1647095864.260919,25,0.7389279007911682
1647095874.061669,26,0.6338943243026733
1647095883.356688,27,0.5841216444969177
1647095893.162099,28,0.41707560420036316
1647095903.380408,29,0.4232340455055237
1647095912.953244,30,0.44214218854904175
1647095922.879192,31,0.6211484670639038
1647095932.618917,32,0.4252144694328308
1647095942.431214,33,0.35911381244659424
1647095952.114386,34,0.3216366767883301
1647095961.787683,35,0.27642062306404114
1647095971.681268,36,0.27005037665367126
1647095981.54157,37,0.3786318600177765
1647095990.976379,38,0.25916212797164917
1647096000.969846,39,0.20770874619483948
1647096010.415445,40,0.26900556683540344
1647096020.529193,41,0.3226437568664551
1647096030.522808,42,0.19481493532657623
1647096040.212039,43,0.1459503322839737
1647096050.046043,44,0.6280058026313782
1647096060.064398,45,0.24882307648658752
1647096069.915901,46,0.1899971067905426
1647096079.557462,47,0.14667794108390808
1647096089.58653,48,0.14481191337108612
1647096099.692546,49,0.19258815050125122
1647096109.593458,50,0.10307032614946365
1647096119.21854,51,0.12382160872220993
1647096128.83751,52,0.2402907907962799
1647096138.69706,53,0.24327649176120758
1647096148.280756,54,0.114996537566185
1647096158.041978,55,0.05572450906038284
1647096167.783093,56,0.06883227080106735
1647096177.32753,57,0.13804775476455688
1647096186.766285,58,0.1414482295513153
1647096196.462578,59,0.13013114035129547
1647096206.118143,60,0.09823907166719437
1647096215.630104,61,0.04559643566608429
1647096225.110233,62,0.09331905841827393
1647096234.745375,63,0.08701127022504807
1647096244.621248,64,0.05221791937947273
1647096254.476969,65,0.17254644632339478
1647096264.080399,66,0.05892205610871315
1647096273.684092,67,0.036732133477926254
1647096283.573596,68,0.17029908299446106
1647096293.232333,69,0.15539409220218658
